Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,雲嘉南,60 - 80,懸浮微粒,5 - 8,2016-01-02,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,中部,60 - 80,懸浮微粒,4 - 7,2016-01-02,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,竹苗,40 - 60,懸浮微粒,1 - 3,2016-01-02,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,北部,40 - 60,懸浮微粒,2 - 3,2016-01-02,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,澎湖,40 - 60,懸浮微粒,2 - 4,2016-01-01,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,金門,55 - 75,懸浮微粒,4 - 7,2016-01-01,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,馬祖,50 - 70,懸浮微粒,3 - 6,2016-01-01,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,花東,30 - 50,,1 - 3,2016-01-01,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,宜蘭,30 - 50,,1 - 3,2016-01-01,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,高屏,65 - 85,懸浮微粒,5 - 9,2016-01-01,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,雲嘉南,70 - 90,懸浮微粒,5 - 8,2016-01-01,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,中部,60 - 80,懸浮微粒,4 - 7,2016-01-01,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,竹苗,40 - 60,懸浮微粒,3 - 5,2016-01-01,2015-12-31 18:30
1.1日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.1日中南部及金門地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。3.2、3日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。2日中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級；3日全臺各地PM2.5指標為低至中等級。,北部,45 - 65,懸浮微粒,3 - 6,2016-01-01,2015-12-31 18:30
